Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park,
20,19.147610,23.117607,19.006470,25.887686,20.806208,18.807611,21.943415,23.386112,21.157669,21.093517,19.273932,
21,20.599146,22.865126,21.267401,24.815815,21.713821,22.213518,19.326881,18.520796,19.213968,19.396982,18.275578,
22,22.271524,25.133593,25.275335,27.609156,24.695292,25.255167,19.184797,17.784128,22.179398,21.596258,20.594387,
23,28.088531,29.874294,28.278221,31.869514,29.750624,29.809313,25.626133,26.560793,27.439236,27.176781,25.729473,
24,36.397427,36.041821,35.123741,35.255848,36.879818,35.789242,35.990765,36.015522,35.483418,36.054317,33.645473,
25,36.427528,36.129749,36.938660,35.264305,36.986092,35.906570,35.970142,36.059155,36.378113,36.419731,35.616657,
