Time,80,78,76,74,72,70,68,66,65,40,35,3,
20,4.823317,26.820925,11.006247,51.620609,72.877296,33.325108,48.866020,8.411573,15.660384,34.752487,28.993780,121.870811,
21,10.514809,22.397242,11.006247,53.737350,72.877296,33.459179,48.105686,11.799252,15.660384,36.381874,24.067295,123.428093,
22,4.341293,26.305067,14.762410,48.657940,70.768501,33.459179,36.066734,11.856524,15.660384,36.632732,24.305923,125.873230,
23,3.730340,26.070158,12.355404,44.926922,68.314484,30.582039,43.894817,8.662750,15.660384,36.786274,24.305923,119.711983,
