Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park,
20,30.000002,30.000002,30.000000,30.000000,30.000000,30.000002,30.000000,29.999998,30.000002,29.999998,30.000002,
21,29.773905,30.440317,31.337791,30.332649,30.383596,31.198433,29.001394,28.180077,28.162786,29.318670,29.917885,
22,30.516993,33.352867,34.608166,32.091080,32.841049,33.822716,32.099281,30.488823,30.465586,32.533154,31.568384,
23,36.808681,38.058064,38.936588,35.275284,37.372368,37.872723,35.855244,36.926205,36.908394,38.397713,35.944004,
