Time,80,78,76,74,72,70,68,66,65,40,35,3,
20,4.823317,26.820925,11.006247,51.620609,72.877296,33.325108,48.866020,8.411573,15.660384,34.752487,28.993780,121.870811,
21,334.000000,24.491434,11.006255,51.620613,72.877304,33.325127,48.866039,8.411605,15.660417,34.752491,28.993801,121.870827,
22,334.000000,22.302589,11.006255,53.737354,72.877304,33.459198,48.105705,11.799281,15.660416,36.381878,24.067316,123.428108,
23,334.000000,25.820091,14.762419,48.657944,70.768509,33.459198,36.066753,11.856555,15.660416,36.632736,24.305944,125.873245,
24,334.000000,25.643419,12.355412,44.926926,68.314491,30.582058,43.894836,8.662783,15.660417,36.786278,24.305944,119.711998,
