Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park,
20,19.147610,23.117607,19.006470,25.887686,20.806208,18.807611,21.943415,23.386112,21.157669,21.093517,19.273932,
21,20.599147,22.865125,21.267443,24.815907,21.713821,22.213584,19.326882,18.520979,19.213968,19.397014,18.275623,
22,22.271524,25.133593,25.275422,27.609340,24.695293,25.255304,19.184790,17.784495,22.179398,21.596320,20.594480,
23,28.088530,29.874295,28.278350,31.869793,29.750626,29.809515,25.626168,26.561344,27.439235,27.176874,25.729612,
24,36.397425,36.041822,35.123913,35.256221,36.879819,35.789513,35.990621,36.016258,35.483419,36.054441,33.645661,
