Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park,
20,17.332899,15.648799,34.256401,31.185699,20.045200,38.497395,49.892399,8.709700,25.657400,48.306599,39.772598,
21,31.641384,28.554586,32.973259,31.596582,27.336271,33.569313,35.548313,28.932045,30.081341,33.663666,34.871120,
22,34.560268,34.077076,34.701118,33.426006,34.544792,35.501614,34.097225,34.764351,33.764835,34.619720,35.676357,
23,38.537075,39.670757,40.550117,36.631817,38.480366,39.916977,36.690792,38.606102,40.031914,41.386948,39.214497,
24,48.399155,47.719078,54.124466,35.318245,37.036247,45.761757,36.020607,36.059452,47.405434,53.161068,45.476685,
